depth,step_size,truncation,reward
7,0.040535,16,85.900000
5,0.395873,27,84.390000
6,0.086131,28,183.420000
0,0.019018,16,23.110000
3,0.321075,26,94.980000
1,0.551367,13,17.410000
6,0.798273,8,41.060000
0,0.539557,23,16.340000
4,0.460150,1,49.350000
5,0.697276,5,46.950000
1,0.538169,10,70.230000
6,0.271187,3,75.520000
2,0.804783,22,40.790000
5,0.798471,25,45.970000
4,0.498400,21,31.460000
3,0.262134,24,68.000000
1,0.237603,30,182.520000
5,0.572912,3,59.360000
7,0.503072,24,114.160000
1,0.511884,20,20.550000
3,0.440708,4,149.620000
3,0.418044,3,138.280000
3,0.290469,25,160.990000
6,0.001809,28,25.050000
2,0.850116,18,78.780000
7,0.389023,15,105.360000
3,0.176056,21,185.780000
2,0.027037,19,82.090000
2,0.574873,26,59.280000
7,0.266356,11,171.110000
0,0.249617,30,19.990000
7,0.573523,20,81.810000
4,0.668955,8,150.120000
3,0.100109,11,151.010000
4,0.392016,30,89.260000
6,0.793618,17,145.490000
2,0.159488,2,38.950000
2,0.778070,11,13.300000
6,0.662008,23,91.050000
3,0.051113,25,163.910000
2,0.307174,13,77.420000
6,0.014021,16,32.430000
6,0.541459,28,187.700000
1,0.011533,26,43.740000
0,0.895860,15,10.700000
5,0.371379,6,174.440000
7,0.376859,18,87.840000
7,0.329161,11,143.510000
2,0.187498,14,187.650000
2,0.764376,25,136.640000
3,0.857801,23,61.220000
2,0.564601,18,21.160000
5,0.303812,27,125.360000
3,0.519207,29,77.070000
0,0.669517,3,13.370000
1,0.697983,23,133.330000
5,0.621655,8,32.410000
7,0.232800,28,152.220000
6,0.485384,2,84.920000
7,0.204342,2,53.900000
4,0.855657,27,50.920000
0,0.056340,13,22.470000
4,0.441499,15,43.640000
3,0.179111,19,182.760000
6,0.939205,3,82.900000
0,0.822115,13,11.290000
7,0.008532,30,34.280000
0,0.887331,6,10.500000
4,0.586397,26,76.100000
6,0.217128,10,167.070000
2,0.828966,29,29.560000
1,0.723606,8,43.550000
2,0.672623,13,180.570000
2,0.108514,1,25.710000
6,0.959888,6,181.800000
5,0.088949,24,183.480000
1,0.656140,20,54.950000
2,0.719110,5,44.510000
0,0.814609,11,11.860000
6,0.586816,22,61.800000
5,0.267810,15,67.170000
5,0.920119,26,166.110000
2,0.620434,6,46.890000
7,0.707873,6,72.580000
4,0.923332,19,71.450000
3,0.610428,6,26.860000
4,0.444135,9,130.400000
3,0.691366,20,115.740000
2,0.286929,20,181.800000
2,0.219046,2,61.800000
7,0.926166,20,140.410000
4,0.003538,24,25.440000
0,0.870763,17,10.620000
5,0.112708,23,183.260000
5,0.508056,23,124.250000
1,0.556074,24,18.120000
3,0.004296,28,26.060000
3,0.619638,24,113.240000
4,0.205417,6,164.300000
7,0.688802,27,155.090000
5,0.341378,4,112.880000
3,0.119633,29,177.370000
0,0.581028,8,15.070000
3,0.478985,11,55.890000
1,0.114348,9,139.900000
4,0.738289,4,28.940000
4,0.987787,2,192.960000
2,0.310659,13,179.820000
2,0.050030,13,90.290000
0,0.418577,8,17.890000
2,0.069851,23,185.200000
5,0.873586,13,115.250000
2,0.412723,1,89.920000
7,0.446650,13,102.090000
6,0.580099,17,62.840000
2,0.537183,14,78.070000
6,0.370773,26,185.270000
6,0.520388,28,122.030000
2,0.196725,5,140.820000
2,0.371244,22,105.410000
2,0.212776,10,152.930000
3,0.824117,27,65.950000
2,0.848757,20,105.870000
1,0.544821,27,30.750000
4,0.340364,15,121.580000
1,0.484591,23,95.020000
1,0.711616,9,44.490000
0,0.689957,30,13.220000
4,0.914605,19,104.430000
6,0.419713,14,49.150000
7,0.375929,9,150.080000
0,0.997143,12,9.330000
5,0.891503,2,36.700000
2,0.079513,19,180.720000
4,0.363171,2,45.790000
2,0.603064,7,45.210000
0,0.396348,22,19.970000
0,0.715339,10,12.850000
0,0.063386,20,20.730000
3,0.107782,21,152.320000
7,0.918069,22,16.760000
7,0.557594,25,46.110000
2,0.974682,1,32.630000
2,0.516081,10,44.410000
1,0.680600,10,13.200000
1,0.719855,3,55.760000
3,0.645963,21,20.380000
7,0.259103,8,145.930000
